250537;-860;-444;14940
250563;-812;-428;14864
250588;-876;-416;15056
250613;-932;-336;14984
250638;-904;-352;14968
250662;-852;-384;14856
250688;-788;-424;14932
250713;-940;-360;14976
250737;-980;-336;14864
250763;-840;-348;15060
250787;-752;-400;15040
250813;-796;-412;14928
250838;-912;-272;14876
250862;-864;-436;15000
250888;-804;-348;14908
250912;-868;-296;14924
250937;-900;-416;15044
250962;-900;-436;14932
250987;-920;-272;14892
251013;-988;-340;14964
251037;-768;-128;15024
251062;-780;-244;15084
251087;-660;-312;14944
251112;-1028;-552;14924
251138;-1064;-580;15128
251164;-968;-228;15032
251189;-808;-456;14940
251214;-836;-316;14928
251239;-1216;-572;14936
251265;-1160;-396;15032
251291;-968;-372;14984
251316;-1488;-412;15144
251341;-1660;-600;14868
251368;-2748;-300;14880
251394;-2188;-828;15188
251420;-2448;544;15080
251445;-2920;-28;14956
251469;-3828;-1672;14492
251497;-5248;-2192;15464
251524;-4924;984;12356
251549;-4524;1732;14676
251575;-6356;-4184;15956
251601;-5336;-6708;16252
251629;-5616;5824;12612
251655;-4792;-6736;17204
251682;-3424;-3544;16364
251709;-3160;-2664;15876
251736;-4772;-6920;15464
251763;-3820;6512;13508
251789;-5712;-288;18664
251815;-4644;1012;13068
251841;568;-1268;10188
251866;-2016;-3672;17044
251893;-304;340;13788
251917;1188;1028;9688
251940;-1092;1444;13920
251967;3292;1424;15812
251992;-16840;-3668;-2660
252020;3760;4228;14116
252045;2976;-4112;15160
252070;3036;-1600;12612
252097;-1080;656;15724
252122;14756;-8528;32767
252149;1476;-7888;-7184
252175;-1760;-1724;23316
252201;256;2188;7288
252225;-4832;1048;11884
252251;336;3440;15000
252275;2588;1980;11240
252300;5056;268;16000
252323;1988;1244;14668
252349;2504;-916;16256
252374;968;496;14292
252396;-180;-1444;15164
252423;176;-432;15088
252446;456;-520;15088
252470;404;-904;15260
252494;-708;-204;15144
252519;-840;-324;15012
252545;-8;0;15076
252564;-16;-792;15192
252588;-772;-640;14764